still_operating,price_usd_tonne,2000_clean_coal_value_tonnes,2001_clean_coal_value_tonnes,2002_clean_coal_value_tonnes,2003_clean_coal_value_tonnes,2004_clean_coal_value_tonnes,2005_clean_coal_value_tonnes,2006_clean_coal_value_tonnes,2007_clean_coal_value_tonnes,2008_clean_coal_value_tonnes,2009_clean_coal_value_tonnes,2010_clean_coal_value_tonnes,2011_clean_coal_value_tonnes,2012_clean_coal_value_tonnes,2013_clean_coal_value_tonnes,2014_clean_coal_value_tonnes,2015_clean_coal_value_tonnes,2016_clean_coal_value_tonnes,2017_clean_coal_value_tonnes,2018_clean_coal_value_tonnes,2019_clean_coal_value_tonnes,2020_clean_coal_value_tonnes,2000_coal_mined_value_tonnes,2001_coal_mined_value_tonnes,2002_coal_mined_value_tonnes,2003_coal_mined_value_tonnes,2004_coal_mined_value_tonnes,2005_coal_mined_value_tonnes,2006_coal_mined_value_tonnes,2007_coal_mined_value_tonnes,2008_coal_mined_value_tonnes,2009_coal_mined_value_tonnes,2010_coal_mined_value_tonnes,2011_coal_mined_value_tonnes,2012_coal_mined_value_tonnes,2013_coal_mined_value_tonnes,2014_coal_mined_value_tonnes,2015_coal_mined_value_tonnes,2016_coal_mined_value_tonnes,2017_coal_mined_value_tonnes,2018_coal_mined_value_tonnes,2019_coal_mined_value_tonnes,2020_coal_mined_value_tonnes,2000_commodities_value_tonnes,2001_commodities_value_tonnes,2002_commodities_value_tonnes,2003_commodities_value_tonnes,2004_commodities_value_tonnes,2005_commodities_value_tonnes,2006_commodities_value_tonnes,2007_commodities_value_tonnes,2008_commodities_value_tonnes,2009_commodities_value_tonnes,2010_commodities_value_tonnes,2011_commodities_value_tonnes,2012_commodities_value_tonnes,2013_commodities_value_tonnes,2014_commodities_value_tonnes,2015_commodities_value_tonnes,2016_commodities_value_tonnes,2017_commodities_value_tonnes,2018_commodities_value_tonnes,2019_commodities_value_tonnes,2020_commodities_value_tonnes,2000_minerals_concentrate_value_tonnes,2001_minerals_concentrate_value_tonnes,2002_minerals_concentrate_value_tonnes,2003_minerals_concentrate_value_tonnes,2004_minerals_concentrate_value_tonnes,2005_minerals_concentrate_value_tonnes,2006_minerals_concentrate_value_tonnes,2007_minerals_concentrate_value_tonnes,2008_minerals_concentrate_value_tonnes,2009_minerals_concentrate_value_tonnes,2010_minerals_concentrate_value_tonnes,2011_minerals_concentrate_value_tonnes,2012_minerals_concentrate_value_tonnes,2013_minerals_concentrate_value_tonnes,2014_minerals_concentrate_value_tonnes,2015_minerals_concentrate_value_tonnes,2016_minerals_concentrate_value_tonnes,2017_minerals_concentrate_value_tonnes,2018_minerals_concentrate_value_tonnes,2019_minerals_concentrate_value_tonnes,2020_minerals_concentrate_value_tonnes,2000_minerals_ore_mined_value_tonnes,2001_minerals_ore_mined_value_tonnes,2002_minerals_ore_mined_value_tonnes,2003_minerals_ore_mined_value_tonnes,2004_minerals_ore_mined_value_tonnes,2005_minerals_ore_mined_value_tonnes,2006_minerals_ore_mined_value_tonnes,2007_minerals_ore_mined_value_tonnes,2008_minerals_ore_mined_value_tonnes,2009_minerals_ore_mined_value_tonnes,2010_minerals_ore_mined_value_tonnes,2011_minerals_ore_mined_value_tonnes,2012_minerals_ore_mined_value_tonnes,2013_minerals_ore_mined_value_tonnes,2014_minerals_ore_mined_value_tonnes,2015_minerals_ore_mined_value_tonnes,2016_minerals_ore_mined_value_tonnes,2017_minerals_ore_mined_value_tonnes,2018_minerals_ore_mined_value_tonnes,2019_minerals_ore_mined_value_tonnes,2020_minerals_ore_mined_value_tonnes,2000_minerals_ore_processed_value_tonnes,2001_minerals_ore_processed_value_tonnes,2002_minerals_ore_processed_value_tonnes,2003_minerals_ore_processed_value_tonnes,2004_minerals_ore_processed_value_tonnes,2005_minerals_ore_processed_value_tonnes,2006_minerals_ore_processed_value_tonnes,2007_minerals_ore_processed_value_tonnes,2008_minerals_ore_processed_value_tonnes,2009_minerals_ore_processed_value_tonnes,2010_minerals_ore_processed_value_tonnes,2011_minerals_ore_processed_value_tonnes,2012_minerals_ore_processed_value_tonnes,2013_minerals_ore_processed_value_tonnes,2014_minerals_ore_processed_value_tonnes,2015_minerals_ore_processed_value_tonnes,2016_minerals_ore_processed_value_tonnes,2017_minerals_ore_processed_value_tonnes,2018_minerals_ore_processed_value_tonnes,2019_minerals_ore_processed_value_tonnes,2020_minerals_ore_processed_value_tonnes
0.0,16811.81,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4887.911,6616.0,6281.0,7071.0,6989.0,5484.0,0.0,2260.0,6242.0,7390.0,6221.0,135.587,120.2985,115.492,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,997224.0,1550437.0,1707330.0,1794089.0,1441903.0,1349336.0,24289.0,755000.0,1785000.0,1755000.0,616000.0,3574182.0,3440000.0,3492000.0,2782262.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,997224.0,1486800.0,1668959.0,1825212.0,1912675.0,1435177.0,0.0,577000.0,1606000.0,1660000.0,1292000.0,3505000.0,3500000.0,3500000.0,2782262.0,1973000.0
1.0,672.01,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,5.719,12.61,14.744,15.463,15.424,16.018,15.904,16.159,12.53,9.412,9.894,9.894,12.36,18.229,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,8094946.0,11101406.0,10416470.0,11122272.0,14181350.0,12576514.0,16135459.0,11909722.0,6546355.0,5836925.0,6631632.0,7319290.0,7764725.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,7339248.0,7495286.0,7561512.0,7595078.0,7814621.0,7605965.0,7774704.0,7004491.0,6637075.0,7269394.0,6904699.0,6367637.0,6620746.0,1973000.0
1.0,1286.07,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,1095.36,206.5555,105.29400000000001,86.254,85.5465,114.0915,99.67949999999999,3.651,13.358,13.409,13.324,13.409,11.737,11.963,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,1739965.0,1970438.0,2388000.0,2318266.0,2597000.0,2848500.0,1732752.0,11387174.0,9366840.0,8980373.0,8217418.0,10622405.0,11652984.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,1524279.5,1848000.0,2250763.0,2318266.0,2597000.0,2848500.0,1613002.0,7731158.0,7249435.0,8415187.0,8412466.0,7771075.0,7856352.0,1973000.0
0.0,14.03,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,1095.36,113.468,182.188,158.499,200.223,157.884,159.791,151.301,103.459,88.475,55.528,19.095,115.492,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,1139899.0,1478423.0,1671257.0,1675952.0,1848000.0,1698000.0,1790000.0,1763000.0,1799000.0,1833000.0,452000.0,3492000.0,2782262.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,1139899.0,1478423.0,1671257.0,1675952.0,1848000.0,1698000.0,1790000.0,1763000.0,1799000.0,1833000.0,452000.0,3500000.0,2782262.0,1973000.0
1.0,85.86,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2205000.0,1353000.0,515000.0,2501000.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2205000.0,1353000.0,515000.0,2501000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,1095.36,206.5555,105.29400000000001,86.254,85.5465,114.0915,99.67949999999999,99.135,104.4385,136.871,135.587,120.2985,115.492,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,1739965.0,1970438.0,2388000.0,2318266.0,2597000.0,2848500.0,2555147.5,3055758.0,3415000.0,3574182.0,3440000.0,3492000.0,2782262.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,1524279.5,1848000.0,2250763.0,2318266.0,2597000.0,2848500.0,2516291.0,3055758.0,3525500.0,3505000.0,3500000.0,3500000.0,2782262.0,1973000.0
1.0,3397.63,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,1095.36,190.0,105.29400000000001,86.254,85.5465,114.0915,99.67949999999999,99.135,104.4385,136.871,135.587,120.2985,115.492,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,161387.0,1970438.0,2388000.0,2318266.0,2597000.0,2848500.0,2555147.5,3055758.0,3415000.0,3574182.0,3440000.0,3492000.0,2782262.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,11399.0,1848000.0,2250763.0,2318266.0,2597000.0,2848500.0,2516291.0,3055758.0,3525500.0,3505000.0,3500000.0,3500000.0,2782262.0,1973000.0
1.0,2279.37,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,257970.0,253341.0,218706.0,235834.0,239862.0,248137.0,236356.0,218322.0,219554.0,209727.0,188494.0,59.02,62.465,59.179,58.111,224264.0,193341.0,55.008,48.883,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,1739965.0,1970438.0,2388000.0,2318266.0,2597000.0,2848500.0,2555147.5,3055758.0,3415000.0,3574182.0,3440000.0,3492000.0,2782262.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,1524279.5,1848000.0,2250763.0,2318266.0,2597000.0,2848500.0,2516291.0,3055758.0,3525500.0,3505000.0,3500000.0,3500000.0,2782262.0,1973000.0
1.0,74.12,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,1095.36,206.5555,105.29400000000001,86.254,85.5465,114.0915,99.67949999999999,99.135,104.4385,136.871,135.587,120.2985,115.492,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1700000.0,2340000.0,2500000.0,2600000.0,1500000.0,1500000.0,1600000.0,1500000.0,1500000.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,900000.0,1400000.0,1300000.0,1400000.0,800000.0,3200000.0,2597000.0,2848500.0,2555147.5,3055758.0,3415000.0,3574182.0,3440000.0,3492000.0,2782262.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,900000.0,1400000.0,1300000.0,1400000.0,800000.0,3200000.0,2597000.0,2848500.0,2516291.0,3055758.0,3525500.0,3505000.0,3500000.0,3500000.0,2782262.0,1973000.0
1.0,353.86,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,1.72,3.052,2.845,2.68,3.179,2.589,2.81,2.499,1.558,1.147,1.043,0.412,0.117,104.4385,136.871,135.587,120.2985,115.492,77.706,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,1100000.0,1311000.0,1314303.5,18478412.0,60178.0,121161.0,155494.0,179785.0,179873.0,179820.0,178969.0,207014.0,142760.0,145915.0,155842.0,78120.0,0.0,3055758.0,3415000.0,3574182.0,3440000.0,3492000.0,2782262.0,2395000.0,12585000.0,60178.0,121161.0,155494.0,179785.0,179873.0,179820.0,178969.0,207014.0,142760.0,145915.0,155842.0,78120.0,0.0,3055758.0,3525500.0,3505000.0,3500000.0,3500000.0,2782262.0,1973000.0
1.0,6341.8,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2812320.0,3127000.0,3000000.0,3051520.0,3200000.0,3221563.0,3550000.0,3996900.0,3141000.0,4404000.0,3332960.0,3400000.0,3559760.0,3824840.0,3273000.0,3049000.0,2903040.0,2837160.0,2993760.0,2967000.0,2759000.0,2822000.0,3127000.0,3063000.0,3138000.0,3246000.0,3260023.0,3658967.0,4051500.0,3977500.0,19719.5,3999.0,2751.0,2401.0,3325.0,4299.4555,1095.36,206.5555,105.29400000000001,86.254,85.5465,114.0915,99.67949999999999,99.135,104.4385,136.871,135.587,120.2985,0.136,0.175,5.096,7200000.0,5131037.5,4419804.5,5283444.0,4826223.5,4388513.0,1350000.0,1791550.0,2973000.0,1632825.0,2800000.0,1950000.0,2106500.0,2404000.0,2100000.0,1750000.0,1329600.0,1480900.0,22238.0,25448.0,1314303.5,18478412.0,11987000.0,7584706.0,9548235.5,3499215.5,2236000.0,1456500.0,1739965.0,1970438.0,2388000.0,2318266.0,2597000.0,2848500.0,2555147.5,3055758.0,3415000.0,3574182.0,3440000.0,539102.0,468732.0,2395000.0,12585000.0,11300000.0,7584706.0,9481235.5,2824325.0,2236000.0,1400000.0,1524279.5,1848000.0,2250763.0,2318266.0,2597000.0,2848500.0,2516291.0,3055758.0,3525500.0,3505000.0,3500000.0,384630.0,773602.0,1973000.0
