facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country
COM00001.00,777,,,,Mine,Copper,"Copper, Zinc, Gold, Silver",Underground,,,,,,,Canada
COM00002.00,A Narrain,,,,Mine,Iron,Iron ore,Open pit,,,,,,1.6059999999999999,India
COM00003.00,Absaloka,,,,Mine,Coal,Sub-bituminous coal,,1974.0,,,,,,United States of America
COM00004.00,Abyz,,,,Mine,Gold,"Copper, Zinc, Gold, Silver",,,,,,,,Kazakhstan
COM00005.00,Achinsk Alumina Refinery,,,,Refinery,Processing,"Alumina, Calcined soda",Sinter plant,1970.0,,,,,,Russian Federation
COM00006.00,Acindar,,,,"Smelter, Refinery",Processing,"Steel, rebar, steel bar, steel meshes, wire rod, barbed wire","Direct reduction iron plant, electric arc furnace, ladle furnace, continuous casting, rolling mills, drawing mill",,,,,,,Argentina
COM00007.00,AGA Mineracao,,,,Mine,Gold,Gold,"Underground, Open pit, Heap leaching plant",,,,,,,Brazil
COM00008.00,Aguablanca,,,,Mine,Nickel,"Nickel, Copper, Cobalt, Gold, PGM",Underground,2005.0,2016.0,,,,,Spain
COM00009.00,Ahafo,,,,Mine,Gold,Gold,"Open pit, Underground",2006.0,,,,,,Ghana
COM00010.00,AHMSA Monclova Steel Plant,,,,"Smelter, Refinery",Processing,"Crude Steel, Hot-rolled steel sheet, Steel plate, Chrome plate, Tin plate, Cold-rolled sheet, Structural steel profiles","Blast furnace, Basic oxygen furnace, Electric arc furnace, Pellet plant, Sinter plant, Coke plant, Rolling mills, Continuous casters, cold rolling mill",,,,,,,Mexico
COM00011.00,Air Quality,Air Quality No. 1,,,Mine,Coal,Thermal coal,Underground,,2012.0,,,,,United States of America
COM00012.00,Airly,,,,Mine,Coal,Coal,Underground,,,,,,,Australia
COM00013.00,Aitik,,,,Mine,Copper,"Copper, Silver, Gold",Open pit,,,,,,,Sweden
COM00014.00,Akbastau,,,,Mine,Copper,"Copper, Zinc, Gold, Silver",,,,,,,,Kazakhstan
COM00015.00,Aktogay,,,,Mine,Copper,"Copper, Silver, Copper cathode, Gold","Open pit, Heap leaching plant",2015.0,,,,,,Kazakhstan
COM00016.00,Akyem,,,,Mine,Gold,Gold,Open pit,2013.0,,,,,,Ghana
COM00017.00,Al Ba’itha,,,,Mine,Aluminium,Bauxite,Open pit,2014.0,,,,,,Saudi Arabia
COM00018.00,Alamo Dorado,,,,Mine,Silver,"Silver, Gold, Copper","Open pit, Leaching plant",2007.0,2017.0,,,,,Mexico
COM00019.00,Albras,,,,Smelter,Processing,Aluminium,,,,,,,,Brazil
COM00020.00,Alexievskaya,"Aleksiyevskaya, Leninskoye",,,Mine,Coal,Coal,,1964.0,,,,,,Russian Federation
COM00021.00,Aljustrel,,,,Mine,Zinc,"Zinc, Lead",,2007.0,,,,,,Portugal
COM00022.00,Alma,,,,Smelter,Processing,"Aluminium rod, T-foundry, Molten metal, High purity, Remelt",,2000.0,,,,,,Canada
COM00023.00,Alouette,,,,Smelter,Processing,"Aluminium high purity, Remelt",,,,,,,,Canada
COM00024.00,Alpamarca,Alpamarca UEA,,,Mine,Silver,"Zinc, Silver, Lead, Copper","Open pit, Underground",,2018.0,,,,,Peru
COM00025.00,Alpart,Alumina Partners of Jamaica,,,"Mine, Refinery",Aluminium,"Bauxite, Alumina",,,,,,,,Jamaica
COM00026.00,ALSCON Aluminium Smelter,ALSCON,,,Smelter,Processing,Aluminium,,1997.0,,,,,,Nigeria
COM00027.00,Altar,,,,Mine,Other mine,"Copper, Gold",,,,Exploration,2018.0,,,Argentina
COM00028.00,Altonorte,,,,Smelter,Processing,Copper,,1993.0,,,,,,Chile
COM00029.00,Alucam,,,,Smelter,Processing,Aluminium,,,,,,,,Cameroon
