facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country
COM00003.00,Absaloka,,,,Mine,Coal,Sub-bituminous coal,,1974.0,,,,,,United States of America
COM00005.00,Achinsk Alumina Refinery,,,,Refinery,Processing,"Alumina, Calcined soda",Sinter plant,1970.0,,,,,,Russian Federation
COM00008.00,Aguablanca,,,,Mine,Nickel,"Nickel, Copper, Cobalt, Gold, PGM",Underground,2005.0,2016.0,,,,,Spain
COM00009.00,Ahafo,,,,Mine,Gold,Gold,"Open pit, Underground",2006.0,,,,,,Ghana
COM00015.00,Aktogay,,,,Mine,Copper,"Copper, Silver, Copper cathode, Gold","Open pit, Heap leaching plant",2015.0,,,,,,Kazakhstan
COM00016.00,Akyem,,,,Mine,Gold,Gold,Open pit,2013.0,,,,,,Ghana
COM00017.00,Al Ba’itha,,,,Mine,Aluminium,Bauxite,Open pit,2014.0,,,,,,Saudi Arabia
COM00018.00,Alamo Dorado,,,,Mine,Silver,"Silver, Gold, Copper","Open pit, Leaching plant",2007.0,2017.0,,,,,Mexico
COM00020.00,Alexievskaya,"Aleksiyevskaya, Leninskoye",,,Mine,Coal,Coal,,1964.0,,,,,,Russian Federation
COM00021.00,Aljustrel,,,,Mine,Zinc,"Zinc, Lead",,2007.0,,,,,,Portugal
COM00022.00,Alma,,,,Smelter,Processing,"Aluminium rod, T-foundry, Molten metal, High purity, Remelt",,2000.0,,,,,,Canada
COM00026.00,ALSCON Aluminium Smelter,ALSCON,,,Smelter,Processing,Aluminium,,1997.0,,,,,,Nigeria
COM00028.00,Altonorte,,,,Smelter,Processing,Copper,,1993.0,,,,,,Chile
COM00030.00,Alumar,Sao Luis Alumar,,,Refinery,Processing,Alumina,,1984.0,,,,,,Brazil
COM00032.00,Alunorte,,,,Refinery,Processing,Alumina,,1995.0,,,,,,Brazil
COM00035.00,Ambatovy,Ambatovy Joint Venture,,,"Mine, Refinery",Nickel,"Nickel, Cobalt",,2011.0,,,,,,Madagascar
COM00036.00,Amona,,,,"Refinery, Smelter",Processing,Pig iron,"Coke plant, blast furnace",1992.0,,,,,,India
COM00041.00,Andina,División Andina,,,Mine,Copper,"Copper, Molybdenum, Silver","Open pit, Underground",1970.0,,,,,,Chile
COM00043.00,Andrade,,,,Mine,Iron,Iron,Open pit,1944.0,,,,,,Brazil
COM00050.00,Antapite,,,,Mine,Gold,"Gold, Silver",Underground,2001.0,,,,,,Peru
COM00051.00,Antas,Mina Antas Norte,,,Mine,Copper,"Copper, Gold","Open pit, Underground",2016.0,,,,,,Brazil
COM00054.00,Antucoya,,,,Mine,Copper,"Copper, Copper cathodes",,2016.0,,,,,,Chile
COM00055.00,Anyuan,Ordos Neng Hua,,,Mine,Coal,Thermal coal,Underground,2004.0,,,,9.3,,China
COM00067.00,Argyle,,,,Mine,Other mine,Diamonds,,1983.0,,,,,,Australia
COM00070.00,Arvida,,,,Smelter,Processing,"Aluminium billet, Molten metal, Remelt",,1954.0,,,,,,Canada
COM00072.00,Ashele,"Xinjiang Ashele Copper Co, Xinjiang Ashele",,,Mine,Copper,"Copper, Zinc, Silver",Underground,2004.0,,,,,,China
COM00074.00,Atasu,West Karazhal,,,Mine,Iron,Iron,Underground,1976.0,,,,,,Kazakhstan
COM00076.00,Aughinish Alumina,Aughinish Alumina Refinery,,,Refinery,Processing,"Alumina, Alumina hydrate",Bayer process plant,1983.0,,,,,,Ireland
COM00081.00,Azovstal,PrJSC Azovstal Iron and Steel Works,,,"Refinery, Smelter",Processing,"Coke, Steel","Coke-Oven, Blast Furnace, Oxygen Furnace",1933.0,,,,,,Ukraine
COM00082.00,Azul,,,,Mine,Other (poly)-metallic,Manganese,Open Pit,1985.0,,,,,,Brazil
COM00084.00,Bagdad,,,,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",1945.0,,,,133.95239,,United States of America
COM00086.00,Bakan,,,,Mine,Gold,Gold,Heap leaching plant,2004.0,,,,,581.5,Indonesia
COM00109.00,Bear Run,,,,Mine,Coal,Thermal coal,Surface,2010.0,,,,,,United States of America
COM00110.00,Beatrix,,,,Mine,Gold,Gold,"Underground, Open pit",1983.0,,,,,,South Africa
COM00112.00,Becancour,,,,Smelter,Processing,"Aluminium slab, Billet, T-foundry, Remelt, Molten metal",,1986.0,,,,,,Canada
COM00113.00,Beckley,,,,Mine,Coal,Metallurgical coal,Underground,2007.0,,,,,,United States of America
