facility_id,facility_name,facility_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,country
COM00003.00,Absaloka,,Mine,Coal,Sub-bituminous coal,,1974.0,,United States of America
COM00008.00,Aguablanca,,Mine,Nickel,"Nickel, Copper, Cobalt, Gold, PGM",Underground,2005.0,2016.0,Spain
COM00009.00,Ahafo,,Mine,Gold,Gold,"Open pit, Underground",2006.0,,Ghana
COM00015.00,Aktogay,,Mine,Copper,"Copper, Silver, Copper cathode, Gold","Open pit, Heap leaching plant",2015.0,,Kazakhstan
COM00016.00,Akyem,,Mine,Gold,Gold,Open pit,2013.0,,Ghana
COM00017.00,Al Ba’itha,,Mine,Aluminium,Bauxite,Open pit,2014.0,,Saudi Arabia
COM00018.00,Alamo Dorado,,Mine,Silver,"Silver, Gold, Copper","Open pit, Leaching plant",2007.0,2017.0,Mexico
COM00020.00,Alexievskaya,"Aleksiyevskaya, Leninskoye",Mine,Coal,Coal,,1964.0,,Russian Federation
COM00021.00,Aljustrel,,Mine,Zinc,"Zinc, Lead",,2007.0,,Portugal
COM00035.00,Ambatovy,Ambatovy Joint Venture,"Mine, Refinery",Nickel,"Nickel, Cobalt",,2011.0,,Madagascar
COM00041.00,Andina,División Andina,Mine,Copper,"Copper, Molybdenum, Silver","Open pit, Underground",1970.0,,Chile
COM00043.00,Andrade,,Mine,Iron,Iron,Open pit,1944.0,,Brazil
COM00050.00,Antapite,,Mine,Gold,"Gold, Silver",Underground,2001.0,,Peru
COM00051.00,Antas,Mina Antas Norte,Mine,Copper,"Copper, Gold","Open pit, Underground",2016.0,,Brazil
COM00054.00,Antucoya,,Mine,Copper,"Copper, Copper cathodes",,2016.0,,Chile
COM00055.00,Anyuan,Ordos Neng Hua,Mine,Coal,Thermal coal,Underground,2004.0,,China
COM00067.00,Argyle,,Mine,Other mine,Diamonds,,1983.0,,Australia
COM00072.00,Ashele,"Xinjiang Ashele Copper Co, Xinjiang Ashele",Mine,Copper,"Copper, Zinc, Silver",Underground,2004.0,,China
COM00074.00,Atasu,West Karazhal,Mine,Iron,Iron,Underground,1976.0,,Kazakhstan
COM00082.00,Azul,,Mine,Other (poly)-metallic,Manganese,Open Pit,1985.0,,Brazil
COM00084.00,Bagdad,,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",1945.0,,United States of America
COM00086.00,Bakan,,Mine,Gold,Gold,Heap leaching plant,2004.0,,Indonesia
COM00109.00,Bear Run,,Mine,Coal,Thermal coal,Surface,2010.0,,United States of America
COM00110.00,Beatrix,,Mine,Gold,Gold,"Underground, Open pit",1983.0,,South Africa
COM00113.00,Beckley,,Mine,Coal,Metallurgical coal,Underground,2007.0,,United States of America
COM00115.00,Beisu,,Mine,Coal,Thermal coal,Underground,1976.0,,China
COM00118.00,Belmont,"Speidel, Shugert, Buttermilk, Egypt Valley Wildlife",Mine,Coal,Bituminous coal,Surface,1999.0,,United States of America
COM00123.00,Benga,,Mine,Coal,"Thermal coal, Hard coking coal",,2012.0,,Mozambique
COM00125.00,Berezovskaya,,Mine,Coal,Metallurgical coal,,1958.0,,Russian Federation
COM00128.00,Beulah,,Mine,Coal,Lignite,,1963.0,,United States of America
COM00139.00,Black Mountain,,Mine,Other (poly)-metallic,"Zinc, Lead, Silver, Copper","Open pit, Underground",1980.0,,South Africa
COM00142.00,Blacksville,Blacksville #2,Mine,Coal,"Thermal coal, Metallurgical coal",Underground,1970.0,,United States of America
COM00143.00,Blackwater,,Mine,Coal,Metallurgical bituminous coal,Open pit,1967.0,,Australia
COM00146.00,Bloom Lake,,Mine,Iron,"Iron, Iron ore pellets",Open pit,2010.0,,Canada
COM00150.00,Bodai-Daldali,,Mine,Aluminium,"Bauxite, Alumina",Open pit,2004.0,,India
COM00151.00,Boddington,,Mine,Gold,"Gold, Copper",Open pit,2009.0,,Australia
COM00154.00,Boggabri,,Mine,Coal,Semi-soft coking coal,Open cut,2006.0,,Australia
COM00163.00,Bozshakol,,Mine,Copper,"Gold, Copper, Silver",Open pit,2015.0,,Kazakhstan
COM00164.00,Bozymchak,,Mine,Copper,"Copper, Gold, Silver",Open pit,2014.0,,Kyrgyzstan
COM00168.00,Breapampa,,Mine,Gold,"Gold, Silver",,2012.0,2015.0,Peru
COM00170.00,Broadmeadow,,Mine,Other mine,Metallurgical bituminous coal,Underground,2005.0,,Australia
COM00176.00,Buchanan,,Mine,Coal,Bituminous coal,Underground,1983.0,,United States of America
COM00177.00,Buckingham,,Mine,Coal,Bituminous coal,,2007.0,,United States of America
COM00178.00,Buenavista,"Cananea, Buenavista del Cobre",Mine,Copper,"Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",1899.0,,Mexico
COM00188.00,Bystrinsky GOK,GRK Bystrinkoye,Mine,Copper,"Copper, Iron, Gold",Open pit,2018.0,,Russian Federation
COM00191.00,Cadiz,,Mine,Coal,Bituminous coal,Surface,2000.0,,United States of America
COM00197.00,Candelaria,,Mine,Copper,"Copper, Gold, Silver",Open pit,1993.0,,Chile
COM00205.00,Carlin,,Mine,Gold,Gold,"Open pit, Underground, grinding circuit, roasting circuit, carbon-in leach circuit",1983.0,,United States of America
COM00208.00,Carosue Dam,CDO,Mine,Gold,Gold,,2010.0,,Australia
COM00209.00,Carrapateena,,Mine,Other mine,"Copper, Gold",Underground,2019.0,,Australia
COM00210.00,Casa de Pedra,,Mine,Iron,Iron,Open pit,1913.0,,Brazil
COM00215.00,Caval Ridge,,Mine,Coal,Metallurgical bituminous coal,Open pit,2014.0,,Australia
COM00217.00,CBG Sangaredi,Boke,Mine,Aluminium,Bauxite,,1973.0,,Guinea
COM00224.00,Century,,Mine,Zinc,"Lead, Zinc, Silver",Open pit,1999.0,2016.0,Australia
COM00225.00,Cerrejon,,Mine,Coal,Thermal bituminous coal,Open pit,1976.0,,Colombia
COM00226.00,Cerro Bayo,Fachinal,Mine,Gold,"Gold, Silver",,1995.0,,Chile
