feature_groups,num_columns,accuracy,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted
"('avg_commodity_recovery_rate', 'avg_reserves_grade_ppm', 'country', 'still_operating', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",54,0.6666666666666666,0.6,0.7245370370370371,0.8611111111111112,0.6666666666666666
"('avg_commodity_recovery_rate', 'avg_reserves_grade_ppm', 'mining_salary', 'total_commodities', 'total_reserves_minerals')",5,0.6666666666666666,0.6,0.6944444444444443,0.7291666666666666,0.6666666666666666
"('avg_commodity_recovery_rate', 'avg_reserves_grade_ppm', 'country', 'mining_salary', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",54,0.6666666666666666,0.6,0.6944444444444443,0.7291666666666666,0.6666666666666666
"('avg_commodity_recovery_rate', 'avg_reserves_grade_ppm', 'country', 'mining_salary', 'still_operating', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",54,0.6666666666666666,0.6,0.6944444444444443,0.7291666666666666,0.6666666666666666
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",7,0.5833333333333334,0.4761904761904762,0.6833333333333332,0.9166666666666666,0.5833333333333334
"('avg_commodities_grade_ppm', 'avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'country', 'mining_salary', 'primary_commodity', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_commodities', 'total_reserves_minerals')",69,0.5833333333333334,0.4761904761904762,0.6833333333333332,0.9166666666666666,0.5833333333333334
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'still_operating', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",8,0.5833333333333334,0.4761904761904762,0.6833333333333332,0.9166666666666666,0.5833333333333334
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'still_operating', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",9,0.5833333333333334,0.4761904761904762,0.6833333333333332,0.9166666666666666,0.5833333333333334
"('avg_commodities_grade_ppm', 'avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'country', 'mining_salary', 'primary_commodity', 'still_operating', 'total_commodities', 'total_minerals', 'total_reserves_commodities', 'total_reserves_minerals')",69,0.5833333333333334,0.4761904761904762,0.6833333333333332,0.9166666666666666,0.5833333333333334
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'still_operating', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",7,0.5833333333333334,0.4761904761904762,0.6833333333333332,0.9166666666666666,0.5833333333333334
"('avg_reserves_grade_ppm', 'mining_salary', 'still_operating', 'total_coal', 'total_minerals', 'total_reserves_commodities', 'total_reserves_minerals')",7,0.6842105263157895,0.625,0.6650717703349283,0.6491228070175438,0.6842105263157895
"('avg_commodities_grade_ppm', 'avg_commodity_recovery_rate', 'avg_reserves_grade_ppm', 'commodity_var', 'country', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",54,0.5833333333333334,0.55,0.6583333333333333,0.8541666666666666,0.5833333333333334
"('avg_commodity_recovery_rate', 'avg_reserves_grade_ppm', 'commodity_var', 'country', 'total_commodities', 'total_reserves_minerals')",52,0.5833333333333334,0.55,0.6501322751322751,0.8611111111111112,0.5833333333333334
"('avg_commodities_grade_ppm', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'mining_salary', 'still_operating', 'total_commodities', 'total_minerals', 'total_reserves_commodities', 'total_reserves_minerals')",10,0.5714285714285714,0.45,0.6460317460317461,0.8571428571428571,0.5714285714285714
"('avg_commodities_grade_ppm', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'mining_salary', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_commodities', 'total_reserves_minerals')",10,0.5714285714285714,0.45,0.6460317460317461,0.8571428571428571,0.5714285714285714
"('avg_commodities_grade_ppm', 'avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'mining_salary', 'primary_commodity', 'total_minerals', 'total_reserves_minerals')",19,0.5,0.39285714285714285,0.6357142857142857,0.9166666666666666,0.5
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'mining_salary', 'still_operating', 'total_coal', 'total_minerals', 'total_reserves_minerals')",9,0.5,0.39285714285714285,0.6357142857142857,0.9166666666666666,0.5
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'country', 'mining_salary', 'primary_commodity', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",66,0.5,0.39285714285714285,0.6357142857142857,0.9166666666666666,0.5
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'country', 'mining_salary', 'primary_commodity', 'still_operating', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",66,0.5,0.39285714285714285,0.6357142857142857,0.9166666666666666,0.5
"('avg_commodity_recovery_rate', 'avg_price_usd', 'avg_reserves_grade_ppm', 'commodity_var', 'country', 'mining_salary', 'primary_commodity', 'still_operating', 'total_coal', 'total_commodities', 'total_minerals', 'total_reserves_minerals')",68,0.5,0.39285714285714285,0.6357142857142857,0.9166666666666666,0.5
