feature_groups,num_columns,accuracy,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted
"('country', 'primary_commodity', 'still_operating')",57,0.25396825396825395,0.27545454545454545,0.24504935877484899,0.27928949357520794,0.25396825396825395
"('country', 'primary_commodity')",56,0.25396825396825395,0.2863636363636363,0.23618528612471268,0.26265489360727456,0.25396825396825395
"('mining_salary', 'primary_commodity', 'still_operating')",12,0.2222222222222222,0.23101010101010097,0.23122556455889792,0.2730692276910765,0.2222222222222222
"('mining_salary', 'primary_commodity')",11,0.20634920634920634,0.2219191919191919,0.20975547028285368,0.2514622943194372,0.20634920634920634
"('country', 'mining_salary', 'primary_commodity', 'still_operating')",58,0.2222222222222222,0.23545454545454542,0.2088979061410139,0.23720758958854196,0.2222222222222222
"('country', 'mining_salary', 'primary_commodity')",57,0.2222222222222222,0.23545454545454542,0.20547479597899765,0.23380719809291237,0.2222222222222222
"('mining_salary',)",1,0.20634920634920634,0.22303030303030305,0.18973122063063266,0.2790186699961136,0.20634920634920634
"('mining_salary', 'still_operating')",2,0.20634920634920634,0.22303030303030305,0.1873399897593446,0.23797254811747565,0.20634920634920634
"('country', 'still_operating')",47,0.20634920634920634,0.23393939393939395,0.17729052140596366,0.21504844970318115,0.20634920634920634
"('country',)",46,0.19047619047619047,0.21393939393939393,0.16613756613756614,0.25518925518925517,0.19047619047619047
"('country', 'mining_salary')",47,0.19047619047619047,0.21393939393939393,0.16557168321874205,0.24838653410081982,0.19047619047619047
"('country', 'mining_salary', 'still_operating')",48,0.19047619047619047,0.21393939393939393,0.16517485782191668,0.2090357882283348,0.19047619047619047
"('primary_commodity', 'still_operating')",11,0.2222222222222222,0.2824242424242424,0.14164678216965798,0.15042328042328043,0.2222222222222222
"('primary_commodity',)",10,0.20634920634920634,0.2624242424242424,0.12754323865434977,0.13982056590752243,0.20634920634920634
"('still_operating',)",1,0.14285714285714285,0.2,0.03896103896103895,0.022556390977443608,0.14285714285714285
