facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,country,LOM_in_Buckets,still_operating
COM00003.00,Absaloka,Mine,Coal,Sub-bituminous coal,,United States of America,47.0,1
COM00008.00,Aguablanca,Mine,Nickel,"Nickel, Copper, Cobalt, Gold, PGM",Underground,Spain,11.0,0
COM00009.00,Ahafo,Mine,Gold,Gold,"Open pit, Underground",Ghana,15.0,1
COM00015.00,Aktogay,Mine,Copper,"Copper, Silver, Copper cathode, Gold","Open pit, Heap leaching plant",Kazakhstan,6.0,1
COM00016.00,Akyem,Mine,Gold,Gold,Open pit,Ghana,8.0,1
COM00017.00,Al Ba’itha,Mine,Aluminium,Bauxite,Open pit,Saudi Arabia,7.0,1
COM00018.00,Alamo Dorado,Mine,Silver,"Silver, Gold, Copper","Open pit, Leaching plant",Mexico,10.0,0
COM00020.00,Alexievskaya,Mine,Coal,Coal,,Russian Federation,57.0,1
COM00021.00,Aljustrel,Mine,Zinc,"Zinc, Lead",,Portugal,14.0,1
COM00035.00,Ambatovy,"Mine, Refinery",Nickel,"Nickel, Cobalt",,Madagascar,10.0,1
COM00041.00,Andina,Mine,Copper,"Copper, Molybdenum, Silver","Open pit, Underground",Chile,51.0,1
COM00043.00,Andrade,Mine,Iron,Iron,Open pit,Brazil,77.0,1
COM00050.00,Antapite,Mine,Gold,"Gold, Silver",Underground,Peru,20.0,1
COM00051.00,Antas,Mine,Copper,"Copper, Gold","Open pit, Underground",Brazil,5.0,1
COM00054.00,Antucoya,Mine,Copper,"Copper, Copper cathodes",,Chile,5.0,1
COM00055.00,Anyuan,Mine,Coal,Thermal coal,Underground,China,17.0,1
COM00067.00,Argyle,Mine,Other mine,Diamonds,,Australia,38.0,1
COM00072.00,Ashele,Mine,Copper,"Copper, Zinc, Silver",Underground,China,17.0,1
COM00074.00,Atasu,Mine,Iron,Iron,Underground,Kazakhstan,45.0,1
COM00082.00,Azul,Mine,Other (poly)-metallic,Manganese,Open Pit,Brazil,36.0,1
COM00084.00,Bagdad,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",United States of America,76.0,1
COM00086.00,Bakan,Mine,Gold,Gold,Heap leaching plant,Indonesia,17.0,1
COM00109.00,Bear Run,Mine,Coal,Thermal coal,Surface,United States of America,11.0,1
COM00110.00,Beatrix,Mine,Gold,Gold,"Underground, Open pit",South Africa,38.0,1
COM00113.00,Beckley,Mine,Coal,Metallurgical coal,Underground,United States of America,14.0,1
COM00115.00,Beisu,Mine,Coal,Thermal coal,Underground,China,45.0,1
COM00118.00,Belmont,Mine,Coal,Bituminous coal,Surface,United States of America,22.0,1
COM00123.00,Benga,Mine,Coal,"Thermal coal, Hard coking coal",,Mozambique,9.0,1
COM00125.00,Berezovskaya,Mine,Coal,Metallurgical coal,,Russian Federation,63.0,1
COM00128.00,Beulah,Mine,Coal,Lignite,,United States of America,58.0,1
COM00139.00,Black Mountain,Mine,Other (poly)-metallic,"Zinc, Lead, Silver, Copper","Open pit, Underground",South Africa,41.0,1
COM00142.00,Blacksville,Mine,Coal,"Thermal coal, Metallurgical coal",Underground,United States of America,51.0,1
COM00143.00,Blackwater,Mine,Coal,Metallurgical bituminous coal,Open pit,Australia,54.0,1
COM00146.00,Bloom Lake,Mine,Iron,"Iron, Iron ore pellets",Open pit,Canada,11.0,1
COM00150.00,Bodai-Daldali,Mine,Aluminium,"Bauxite, Alumina",Open pit,India,17.0,1
COM00151.00,Boddington,Mine,Gold,"Gold, Copper",Open pit,Australia,12.0,1
COM00154.00,Boggabri,Mine,Coal,Semi-soft coking coal,Open cut,Australia,15.0,1
COM00163.00,Bozshakol,Mine,Copper,"Gold, Copper, Silver",Open pit,Kazakhstan,6.0,1
COM00164.00,Bozymchak,Mine,Copper,"Copper, Gold, Silver",Open pit,Kyrgyzstan,7.0,1
COM00168.00,Breapampa,Mine,Gold,"Gold, Silver",,Peru,3.0,0
COM00170.00,Broadmeadow,Mine,Other mine,Metallurgical bituminous coal,Underground,Australia,16.0,1
COM00176.00,Buchanan,Mine,Coal,Bituminous coal,Underground,United States of America,38.0,1
COM00177.00,Buckingham,Mine,Coal,Bituminous coal,,United States of America,14.0,1
COM00178.00,Buenavista,Mine,Copper,"Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",Mexico,122.0,1
COM00188.00,Bystrinsky GOK,Mine,Copper,"Copper, Iron, Gold",Open pit,Russian Federation,3.0,1
COM00191.00,Cadiz,Mine,Coal,Bituminous coal,Surface,United States of America,21.0,1
COM00197.00,Candelaria,Mine,Copper,"Copper, Gold, Silver",Open pit,Chile,28.0,1
