id,facility_id,year,type,material,value_tonnes
1,COM00001.00,2013,Ore mined,O.bulk,1625532
2,COM00001.00,2013,Ore processed,O.bulk,1625532
3,COM00001.00,2014,Ore mined,O.bulk,1452933
4,COM00001.00,2014,Ore processed,O.bulk,1452933
5,COM00001.00,2015,Ore mined,O.bulk,1235053
6,COM00001.00,2015,Ore processed,O.bulk,1235053
7,COM00001.00,2016,Ore mined,O.bulk,1297829
8,COM00001.00,2016,Ore processed,O.bulk,1297829
9,COM00001.00,2017,Ore mined,O.bulk,1014369
10,COM00001.00,2017,Ore processed,O.bulk,1014369
11,COM00001.00,2018,Ore mined,O.bulk,966567
12,COM00001.00,2018,Ore processed,O.bulk,966567
13,COM00001.00,2019,Ore mined,O.bulk,1109782
14,COM00001.00,2019,Ore processed,O.bulk,1109782
15,COM00002.00,2012,Ore mined,O.Fe,1000000
16,COM00002.00,2012,Ore processed,O.Fe,1000000
17,COM00002.00,2013,Ore mined,O.Fe,0
18,COM00002.00,2013,Ore processed,O.Fe,0
19,COM00002.00,2014,Ore mined,O.Fe,1500000
20,COM00002.00,2014,Ore processed,O.Fe,1500000
21,COM00002.00,2015,Ore mined,O.Fe,600000
22,COM00002.00,2015,Ore processed,O.Fe,600000
23,COM00002.00,2016,Ore mined,O.Fe,3000000
24,COM00002.00,2016,Ore processed,O.Fe,3000000
25,COM00002.00,2017,Ore mined,O.Fe,2100000
26,COM00002.00,2017,Ore processed,O.Fe,2100000
27,COM00002.00,2018,Ore mined,O.Fe,2200000
28,COM00002.00,2018,Ore processed,O.Fe,2200000
29,COM00002.00,2019,Ore mined,O.Fe,4120000
30,COM00002.00,2019,Ore processed,O.Fe,4120000
31,COM00004.00,2008,Ore mined,O.Cu,436000
32,COM00004.00,2008,Ore processed,O.Cu,436000
33,COM00004.00,2009,Ore mined,O.Cu,167000
34,COM00004.00,2009,Ore processed,O.Cu,167000
35,COM00004.00,2010,Ore mined,O.Cu,465000
36,COM00004.00,2010,Ore processed,O.Cu,465000
37,COM00004.00,2011,Ore mined,O.Cu,491000
38,COM00004.00,2011,Ore processed,O.Cu,491000
39,COM00004.00,2012,Ore mined,O.Cu,500000
40,COM00004.00,2012,Ore processed,O.Cu,500000
41,COM00004.00,2013,Ore mined,O.Cu,391000
42,COM00004.00,2013,Ore processed,O.Cu,391000
43,COM00007.00,2003,Ore mined,O.Au,1100000
44,COM00007.00,2003,Ore processed,O.Au,1100000
45,COM00007.00,2004,Ore mined,O.Au,1000000
46,COM00007.00,2004,Ore processed,O.Au,1000000
47,COM00007.00,2005,Ore mined,O.Au,1300000
48,COM00007.00,2005,Ore processed,O.Au,1300000
49,COM00007.00,2006,Ore mined,O.Au,1100000
50,COM00007.00,2006,Ore processed,O.Au,1100000
51,COM00007.00,2007,Ore mined,O.Au,1400000
52,COM00007.00,2007,Ore processed,O.Au,1400000
53,COM00007.00,2008,Ore mined,O.Au,1400000
54,COM00007.00,2008,Ore processed,O.Au,1400000
55,COM00007.00,2009,Ore mined,O.Au,1500000
56,COM00007.00,2009,Ore processed,O.Au,1500000
57,COM00007.00,2010,Ore mined,O.Au,1600000
58,COM00007.00,2010,Ore processed,O.Au,1600000
59,COM00007.00,2011,Ore mined,O.Au,1700000
60,COM00007.00,2011,Ore processed,O.Au,1700000
61,COM00007.00,2012,Ore mined,O.Au,2200000
62,COM00007.00,2012,Ore processed,O.Au,2200000
63,COM00007.00,2013,Ore mined,O.Au,2300000
64,COM00007.00,2013,Ore processed,O.Au,2300000
65,COM00007.00,2014,Ore mined,O.Au,2500000
66,COM00007.00,2014,Ore processed,O.Au,2500000
67,COM00007.00,2015,Ore mined,O.Au,2600000
68,COM00007.00,2015,Ore processed,O.Au,2600000
69,COM00007.00,2016,Ore mined,O.Au,2800000
70,COM00007.00,2016,Ore processed,O.Au,2800000
71,COM00007.00,2017,Ore mined,O.Au,3000000
72,COM00007.00,2017,Ore processed,O.Au,3000000
73,COM00007.00,2018,Ore mined,O.Au,3000000
74,COM00007.00,2018,Ore processed,O.Au,3000000
75,COM00008.00,2005,Ore mined,O.bulk,997224
76,COM00008.00,2005,Ore processed,O.bulk,997224
77,COM00008.00,2006,Ore mined,O.bulk,1550437
78,COM00008.00,2006,Ore processed,O.bulk,1486800
79,COM00008.00,2007,Ore mined,O.bulk,1707330
80,COM00008.00,2007,Ore processed,O.bulk,1668959
81,COM00008.00,2008,Ore mined,O.bulk,1794089
82,COM00008.00,2008,Ore processed,O.bulk,1825212
83,COM00008.00,2009,Ore mined,O.bulk,1441903
84,COM00008.00,2009,Ore processed,O.bulk,1912675
85,COM00008.00,2010,Ore mined,O.bulk,1349336
86,COM00008.00,2010,Ore processed,O.bulk,1435177
87,COM00008.00,2011,Ore mined,O.bulk,24289
88,COM00008.00,2011,Ore processed,O.bulk,0
