facility_id,primary_commodity,country,LOM_in_Buckets,still_operating,price_usd_tonne,2000_clean_coal_value_tonnes,2001_clean_coal_value_tonnes,2002_clean_coal_value_tonnes,2003_clean_coal_value_tonnes,2004_clean_coal_value_tonnes,2005_clean_coal_value_tonnes,2006_clean_coal_value_tonnes,2007_clean_coal_value_tonnes,2008_clean_coal_value_tonnes,2009_clean_coal_value_tonnes,2010_clean_coal_value_tonnes,2011_clean_coal_value_tonnes,2012_clean_coal_value_tonnes,2013_clean_coal_value_tonnes,2014_clean_coal_value_tonnes,2015_clean_coal_value_tonnes,2016_clean_coal_value_tonnes,2017_clean_coal_value_tonnes,2018_clean_coal_value_tonnes,2019_clean_coal_value_tonnes,2020_clean_coal_value_tonnes,2000_coal_mined_value_tonnes,2001_coal_mined_value_tonnes,2002_coal_mined_value_tonnes,2003_coal_mined_value_tonnes,2004_coal_mined_value_tonnes,2005_coal_mined_value_tonnes,2006_coal_mined_value_tonnes,2007_coal_mined_value_tonnes,2008_coal_mined_value_tonnes,2009_coal_mined_value_tonnes,2010_coal_mined_value_tonnes,2011_coal_mined_value_tonnes,2012_coal_mined_value_tonnes,2013_coal_mined_value_tonnes,2014_coal_mined_value_tonnes,2015_coal_mined_value_tonnes,2016_coal_mined_value_tonnes,2017_coal_mined_value_tonnes,2018_coal_mined_value_tonnes,2019_coal_mined_value_tonnes,2020_coal_mined_value_tonnes,2000_commodities_recovery_rate,2001_commodities_recovery_rate,2002_commodities_recovery_rate,2003_commodities_recovery_rate,2004_commodities_recovery_rate,2005_commodities_recovery_rate,2006_commodities_recovery_rate,2007_commodities_recovery_rate,2008_commodities_recovery_rate,2009_commodities_recovery_rate,2010_commodities_recovery_rate,2011_commodities_recovery_rate,2012_commodities_recovery_rate,2013_commodities_recovery_rate,2014_commodities_recovery_rate,2015_commodities_recovery_rate,2016_commodities_recovery_rate,2017_commodities_recovery_rate,2018_commodities_recovery_rate,2019_commodities_recovery_rate,2020_commodities_recovery_rate,2000_commodities_value_tonnes,2001_commodities_value_tonnes,2002_commodities_value_tonnes,2003_commodities_value_tonnes,2004_commodities_value_tonnes,2005_commodities_value_tonnes,2006_commodities_value_tonnes,2007_commodities_value_tonnes,2008_commodities_value_tonnes,2009_commodities_value_tonnes,2010_commodities_value_tonnes,2011_commodities_value_tonnes,2012_commodities_value_tonnes,2013_commodities_value_tonnes,2014_commodities_value_tonnes,2015_commodities_value_tonnes,2016_commodities_value_tonnes,2017_commodities_value_tonnes,2018_commodities_value_tonnes,2019_commodities_value_tonnes,2020_commodities_value_tonnes,2018_commodity_x,2019_commodity_x,2015_id_x,2018_id_x,2019_id_x,2021_id_x,2000_minerals_concentrate_value_tonnes,2001_minerals_concentrate_value_tonnes,2002_minerals_concentrate_value_tonnes,2003_minerals_concentrate_value_tonnes,2004_minerals_concentrate_value_tonnes,2005_minerals_concentrate_value_tonnes,2006_minerals_concentrate_value_tonnes,2007_minerals_concentrate_value_tonnes,2008_minerals_concentrate_value_tonnes,2009_minerals_concentrate_value_tonnes,2010_minerals_concentrate_value_tonnes,2011_minerals_concentrate_value_tonnes,2012_minerals_concentrate_value_tonnes,2013_minerals_concentrate_value_tonnes,2014_minerals_concentrate_value_tonnes,2015_minerals_concentrate_value_tonnes,2016_minerals_concentrate_value_tonnes,2017_minerals_concentrate_value_tonnes,2018_minerals_concentrate_value_tonnes,2019_minerals_concentrate_value_tonnes,2020_minerals_concentrate_value_tonnes,2000_minerals_ore_mined_value_tonnes,2001_minerals_ore_mined_value_tonnes,2002_minerals_ore_mined_value_tonnes,2003_minerals_ore_mined_value_tonnes,2004_minerals_ore_mined_value_tonnes,2005_minerals_ore_mined_value_tonnes,2006_minerals_ore_mined_value_tonnes,2007_minerals_ore_mined_value_tonnes,2008_minerals_ore_mined_value_tonnes,2009_minerals_ore_mined_value_tonnes,2010_minerals_ore_mined_value_tonnes,2011_minerals_ore_mined_value_tonnes,2012_minerals_ore_mined_value_tonnes,2013_minerals_ore_mined_value_tonnes,2014_minerals_ore_mined_value_tonnes,2015_minerals_ore_mined_value_tonnes,2016_minerals_ore_mined_value_tonnes,2017_minerals_ore_mined_value_tonnes,2018_minerals_ore_mined_value_tonnes,2019_minerals_ore_mined_value_tonnes,2020_minerals_ore_mined_value_tonnes,2000_minerals_ore_processed_value_tonnes,2001_minerals_ore_processed_value_tonnes,2002_minerals_ore_processed_value_tonnes,2003_minerals_ore_processed_value_tonnes,2004_minerals_ore_processed_value_tonnes,2005_minerals_ore_processed_value_tonnes,2006_minerals_ore_processed_value_tonnes,2007_minerals_ore_processed_value_tonnes,2008_minerals_ore_processed_value_tonnes,2009_minerals_ore_processed_value_tonnes,2010_minerals_ore_processed_value_tonnes,2011_minerals_ore_processed_value_tonnes,2012_minerals_ore_processed_value_tonnes,2013_minerals_ore_processed_value_tonnes,2014_minerals_ore_processed_value_tonnes,2015_minerals_ore_processed_value_tonnes,2016_minerals_ore_processed_value_tonnes,2017_minerals_ore_processed_value_tonnes,2018_minerals_ore_processed_value_tonnes,2019_minerals_ore_processed_value_tonnes,2020_minerals_ore_processed_value_tonnes
COM00003.00,Coal,United States of America,47.0,1.0,43.21,,5356109.0,4681152.0,5457715.0,5885914.0,5863234.0,6149002.0,6667920.0,5797915.0,5315285.0,4958755.0,5023166.0,2483914.0,3755808.0,5998406.0,5336150.0,3751272.0,3235075.0,,,,,5356109.0,4681152.0,5457715.0,5885914.0,5863234.0,6149002.0,6667920.0,5797915.0,5315285.0,4958755.0,5023166.0,2483914.0,3755808.0,5998406.0,5336150.0,3751272.0,3235075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM00008.00,Nickel,Spain,11.0,0.0,16811.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.887,0.9,0.92,0.93,0.9,0.93,,0.914,0.938,0.939,0.931,,,,,,,,,,,4887.911,6616.0,6281.0,7071.0,6989.0,5484.0,0.0,2260.0,6242.0,7390.0,6221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997224.0,1550437.0,1707330.0,1794089.0,1441903.0,1349336.0,24289.0,755000.0,1785000.0,1755000.0,616000.0,,,,,,,,,,,997224.0,1486800.0,1668959.0,1825212.0,1912675.0,1435177.0,0.0,577000.0,1606000.0,1660000.0,1292000.0,,,,,
COM00009.00,Gold,Ghana,15.0,1.0,672.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.896,0.903,0.923,0.94,0.941,,,,,,,,5.719,12.61,14.744,15.463,15.424,16.018,15.904,16.159,12.53,9.412,9.894,9.894,12.36,18.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8094946.0,11101406.0,10416470.0,11122272.0,14181350.0,12576514.0,16135459.0,11909722.0,6546355.0,5836925.0,6631632.0,7319290.0,7764725.0,,,,,,,,,7339248.0,7495286.0,7561512.0,7595078.0,7814621.0,7605965.0,7774704.0,7004491.0,6637075.0,7269394.0,6904699.0,6367637.0,6620746.0,
COM00015.00,Copper,Kazakhstan,6.0,1.0,5630.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,18000.0,68200.0,110600.0,,,,,,,,,,,,,,,,,,,,,,,,,,298600.0,505100.0,,,,,,,,,,,,,,,,,,3003000.0,15989000.0,13040000.0,16104000.0,,,,,,,,,,,,,,,,,,3003000.0,15989000.0,13040000.0,16104000.0,,
COM00016.00,Gold,Ghana,8.0,1.0,1286.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,0.917,0.923,0.912,0.908,,,,,,,,,,,,,,,3.651,13.358,13.409,13.324,13.409,11.737,11.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732752.0,11387174.0,9366840.0,8980373.0,8217418.0,10622405.0,11652984.0,,,,,,,,,,,,,,,1613002.0,7731158.0,7249435.0,8415187.0,8412466.0,7771075.0,7856352.0,
COM00017.00,Aluminium,Saudi Arabia,7.0,1.0,1725.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796813.0,2390438.0,3585657.0,3585657.0,4382470.0,4780876.0,,,,,,,,,,,,,,,,796813.0,2390438.0,3585657.0,3585657.0,4382470.0,4780876.0,
COM00018.00,Silver,Mexico,10.0,0.0,14.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9e-05,5.4e-05,9.5e-05,5.7e-05,0.000111,9.2e-05,0.000117,0.000227,0.000328,0.000734,0.00055,,,,,,,,,,,113.468,182.188,158.499,200.223,157.884,159.791,151.301,103.459,88.475,55.528,19.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139899.0,1478423.0,1671257.0,1675952.0,1848000.0,1698000.0,1790000.0,1763000.0,1799000.0,1833000.0,452000.0,,,,,,,,,,,1139899.0,1478423.0,1671257.0,1675952.0,1848000.0,1698000.0,1790000.0,1763000.0,1799000.0,1833000.0,452000.0,,,
COM00020.00,Coal,Russian Federation,57.0,1.0,85.86,,,,,,,,,,,,,2205000.0,1353000.0,515000.0,2501000.0,,,,,,,,,,,,,,,,,,2205000.0,1353000.0,515000.0,2501000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM00021.00,Zinc,Portugal,14.0,1.0,3397.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161387.0,,,,,,,,,,,,,,,,,,,,,11399.0,,,,,,,,,,,,,
COM00035.00,Nickel,Madagascar,10.0,1.0,15919.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.5,2082.5,2915.0,3464.0,3273.0,3053.0,2852.0,2900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
