Year,Coal,Nickel,Gold,Copper,Aluminium,Silver,Zinc,Iron,Other
2000,33.20,10856.89,350.72,2279.37,1947.14,6.23,1417.97,36.19,
2001,43.21,7762.77,353.86,2060.97,1885.13,5.71,1156.66,39.21,
2002,33.91,8947.87,409.58,2060.62,1783.71,6.08,1029.00,38.73,
2003,35.37,12094.28,456.56,2234.55,1797.66,6.12,1039.56,40.13,
2004,63.29,16256.90,481.26,3370.44,2017.57,7.83,1232.22,44.57,
2005,53.49,16811.81,507.23,4194.84,2164.55,8.33,1575.04,74.12,
2006,55.48,26970.32,672.01,7474.85,2857.67,12.85,3642.05,77.10,
2007,67.27,39012.69,730.09,7459.11,2764.52,14.03,3397.63,128.88,
2008,120.44,20529.66,847.72,6764.45,2501.98,14.58,1823.11,151.70,
2009,70.77,15192.44,1008.67,5338.73,1725.93,15.18,1715.86,82.91,
2010,95.29,21808.85,1224.66,7534.78,2173.12,20.15,2160.74,145.86,
2011,107.05,20632.53,1413.19,7950.46,2162.63,31.72,1975.77,151.08,
2012,85.86,15919.03,1514.58,7223.39,1835.51,28.25,1769.40,116.57,
2013,75.08,13696.40,1286.07,6680.73,1682.61,21.73,1740.55,123.34,
2014,65.81,15605.89,1169.12,6340.32,1725.10,17.62,1996.28,89.56,
2015,59.08,12120.81,1185.92,5630.38,1700.91,16.06,1973.72,57.07,
2016,69.16,10204.38,1328.29,5176.96,1706.03,18.24,2222.67,62.13,
2017,89.25,10699.59,1292.59,6341.80,2022.46,17.54,2971.39,73.76,
2018,100.46,12874.60,1246.05,6410.56,2069.97,15.43,2869.02,68.48,
2019,75.31,13986.64,1399.78,6041.56,1803.87,16.30,2563.74,94.34,
2020,64.58,14083.00,1808.23,6306.20,1740.54,20.98,2315.07,111.25,
2021,117.87,16878.40,1645.00,8516.50,2260.37,23.00,2744.53,147.82,
