id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
1,COM00001.00,2013,O.bulk,Me.Ag,11144283.0,,,filled,
1,COM00001.00,2014,O.bulk,Me.Ag,9518751.0,,,filled,
1,COM00001.00,2015,O.bulk,Me.Ag,8065818.0,,,filled,
1,COM00001.00,2016,O.bulk,Me.Ag,6830765.0,,,filled,
1,COM00001.00,2017,O.bulk,Me.Ag,5532936.0,,,filled,
1,COM00001.00,2018,O.bulk,Me.Ag,4518567.0,,,filled,
1,COM00001.00,2019,O.bulk,Me.Ag,3552000.0,,,,
2,COM00001.00,2019,O.bulk,Me.Au,3552000.0,,,,
3,COM00001.00,2019,O.bulk,Me.Cu,3552000.0,,,,
4,COM00001.00,2019,O.bulk,Me.Zn,3552000.0,,,,
5,COM00002.00,2012,O.Fe,Me.Fe,66700000.0,,,filled,
5,COM00002.00,2013,O.Fe,Me.Fe,65700000.0,,,filled,
5,COM00002.00,2014,O.Fe,Me.Fe,65700000.0,,,filled,
5,COM00002.00,2015,O.Fe,Me.Fe,64200000.0,,,filled,
5,COM00002.00,2016,O.Fe,Me.Fe,63600000.0,,,filled,
5,COM00002.00,2017,O.Fe,Me.Fe,60600000.0,,,filled,
5,COM00002.00,2018,O.Fe,Me.Fe,58500000.0,,,filled,
5,COM00002.00,2019,O.Fe,Me.Fe,56300000.0,,,,
6,COM00003.00,2001,F.sbc,,107488685.0,,,filled,
6,COM00003.00,2002,F.sbc,,102132576.0,,,filled,
6,COM00003.00,2003,F.sbc,,97451424.0,,,filled,
6,COM00003.00,2004,F.sbc,,91993709.0,,,filled,
6,COM00003.00,2005,F.sbc,,86107795.0,,,filled,
6,COM00003.00,2006,F.sbc,,80244561.0,,,filled,
6,COM00003.00,2007,F.sbc,,74095559.0,,,filled,
6,COM00003.00,2008,F.sbc,,67427639.0,,,filled,
6,COM00003.00,2009,F.sbc,,61629724.0,,,filled,
6,COM00003.00,2010,F.sbc,,56314439.0,,,filled,
6,COM00003.00,2011,F.sbc,,51355684.0,,,filled,
6,COM00003.00,2012,F.sbc,,46332518.0,,,filled,
6,COM00003.00,2013,F.sbc,,43848604.0,,,filled,
6,COM00003.00,2014,F.sbc,,40092796.0,,,filled,
6,COM00003.00,2015,F.sbc,,34094390.0,,,filled,
6,COM00003.00,2016,F.sbc,,28758240.0,,,filled,
6,COM00003.00,2017,F.sbc,,25006968.0,,,,
7,COM00007.00,2003,O.Au,Me.Au,36260000.0,,,filled,
7,COM00007.00,2004,O.Au,Me.Au,35160000.0,,,filled,
7,COM00007.00,2005,O.Au,Me.Au,34160000.0,,,filled,
7,COM00007.00,2006,O.Au,Me.Au,32860000.0,,,filled,
7,COM00007.00,2007,O.Au,Me.Au,31760000.0,,,filled,
7,COM00007.00,2008,O.Au,Me.Au,30360000.0,,,filled,
7,COM00007.00,2009,O.Au,Me.Au,28960000.0,,,filled,
7,COM00007.00,2010,O.Au,Me.Au,27460000.0,,,filled,
7,COM00007.00,2011,O.Au,Me.Au,25860000.0,,,filled,
7,COM00007.00,2012,O.Au,Me.Au,24160000.0,,,filled,
7,COM00007.00,2013,O.Au,Me.Au,21960000.0,,,filled,
7,COM00007.00,2014,O.Au,Me.Au,19660000.0,,,filled,
7,COM00007.00,2015,O.Au,Me.Au,17160000.0,,,filled,
7,COM00007.00,2016,O.Au,Me.Au,14560000.0,,,filled,
7,COM00007.00,2017,O.Au,Me.Au,11760000.0,,,filled,
7,COM00007.00,2018,O.Au,Me.Au,10730000.0,48.194189321,4.932516309412861,,
8,COM00007.00,2018,O.Au,Nm.S,8760000.0,370584.96629,42636.98630136986,,
9,COM00009.00,2007,O.Au,Me.Au,292872341.0,,,filled,
9,COM00009.00,2008,O.Au,Me.Au,284777395.0,,,filled,
9,COM00009.00,2009,O.Au,Me.Au,273675989.0,,,filled,
9,COM00009.00,2010,O.Au,Me.Au,263259519.0,,,filled,
9,COM00009.00,2011,O.Au,Me.Au,252137247.0,,,filled,
9,COM00009.00,2012,O.Au,Me.Au,237955897.0,,,filled,
9,COM00009.00,2013,O.Au,Me.Au,225379383.0,,,filled,
9,COM00009.00,2014,O.Au,Me.Au,209243924.0,,,filled,
9,COM00009.00,2015,O.Au,Me.Au,197334202.0,,,filled,
9,COM00009.00,2016,O.Au,Me.Au,190787847.0,,,filled,
9,COM00009.00,2017,O.Au,Me.Au,184950922.0,,,filled,
9,COM00009.00,2018,O.Au,Me.Au,178319290.0,,,filled,
9,COM00009.00,2019,O.Au,Me.Au,171000000.0,273.28940172,1.594967381429696,,
10,COM00013.00,2018,O.bulk,Me.Ag,1148000000.0,,,,
11,COM00013.00,2018,O.bulk,Me.Au,1148000000.0,,,,
12,COM00013.00,2018,O.bulk,Me.Cu,1148000000.0,,,,
13,COM00015.00,2019,O.bulk,Me.Cu,1399000000.0,,,,
14,COM00015.00,2019,O.bulk,Me.Mo,1399000000.0,,,,
15,COM00016.00,2013,O.Au,Me.Au,111106962.0,,,filled,
15,COM00016.00,2014,O.Au,Me.Au,109374210.0,,,filled,
15,COM00016.00,2015,O.Au,Me.Au,97987036.0,,,filled,
15,COM00016.00,2016,O.Au,Me.Au,88620196.0,,,filled,
15,COM00016.00,2017,O.Au,Me.Au,79639823.0,,,filled,
15,COM00016.00,2018,O.Au,Me.Au,71422405.0,,,filled,
15,COM00016.00,2019,O.Au,Me.Au,60800000.0,73.14176934,1.2160453342605264,,
16,COM00017.00,2014,O.Al,Me.Al2O3,203465545.19592163,,,filled,
16,COM00017.00,2015,O.Al,Me.Al2O3,202668732.19592163,,,filled,
16,COM00017.00,2016,O.Al,Me.Al2O3,200278294.19592163,,,filled,
16,COM00017.00,2017,O.Al,Me.Al2O3,196692637.19592163,,,filled,
