id,facility_id,year,waste_type,material,value_tonnes,total_material_tonnes
1,COM00009.00,2007,Waste rock,,32035046.400000002,40129992
2,COM00009.00,2008,Waste rock,,34772976,45874382.400000006
3,COM00009.00,2009,Waste rock,,36731620.800000004,47148091.2
4,COM00009.00,2010,Waste rock,,35193916.800000004,46316188.800000004
5,COM00009.00,2011,Waste rock,,33294240,47475590.400000006
6,COM00009.00,2012,Waste rock,,31673980.8,44250494.4
7,COM00009.00,2013,Waste rock,,38332828.800000004,54468288
8,COM00009.00,2014,Waste rock,,29530267.200000003,41439988.800000004
9,COM00009.00,2015,Waste rock,,29820571.200000003,36366926.4
10,COM00009.00,2016,Waste rock,,29099347.200000003,34936272
11,COM00009.00,2017,Waste rock,,29322518.400000002,35701041.6
12,COM00009.00,2018,Waste rock,,26822275.200000003,32926824
13,COM00009.00,2019,Waste rock,,29498515.200000003,36045777.6
14,COM00016.00,2013,Waste rock,,4014360,5747112
15,COM00016.00,2014,Waste rock,,21907972.8,33295147.200000003
16,COM00016.00,2015,Waste rock,,23139950.400000002,32506790.400000002
17,COM00016.00,2016,Waste rock,,24166900.8,33147273.6
18,COM00016.00,2017,Waste rock,,23740516.8,31957934.400000002
19,COM00016.00,2018,Waste rock,,21741955.2,32364360
20,COM00016.00,2019,Waste rock,,20722262.400000002,32375246.400000002
21,COM00031.00,2005,Waste rock,,81553333.33333333,
22,COM00031.00,2006,Waste rock,,81161066.66666667,
23,COM00031.00,2007,Waste rock,,84308800,
24,COM00031.00,2008,Waste rock,,71326666.66666667,
25,COM00031.00,2009,Waste rock,,58895733.333333336,
26,COM00031.00,2010,Waste rock,,59126933.333333336,
27,COM00031.00,2011,Waste rock,,52201600,
28,COM00031.00,2012,Waste rock,,65618933.333333336,
29,COM00031.00,2013,Waste rock,,55153600,
30,COM00031.00,2014,Waste rock,,42427200,
31,COM00031.00,2015,Waste rock,,45650666.666666664,
32,COM00031.00,2016,Waste rock,,25274666.666666668,
33,COM00048.00,2013,,,,211586000
34,COM00048.00,2014,,,,194102000
35,COM00048.00,2015,,,,215653000
36,COM00048.00,2016,,,,244443000
37,COM00048.00,2017,,,,236366000
38,COM00048.00,2018,,,,242407000
39,COM00051.00,2017,Waste rock,,2480723,
40,COM00051.00,2018,Waste rock,,4849538,
41,COM00057.00,2016,Tailings,,3453660,
42,COM00057.00,2016,Waste rock,,3016025,
43,COM00057.00,2017,Tailings,,3745230,
44,COM00057.00,2017,Waste rock,,5370285,
45,COM00057.00,2018,Tailings,,5466997,
46,COM00057.00,2018,Waste rock,,4138257,
47,COM00071.00,2007,Waste rock,,1098000,
48,COM00071.00,2008,Waste rock,,4270000,
49,COM00071.00,2009,Waste rock,,17934000,
50,COM00071.00,2010,Waste rock,,20252000,
51,COM00071.00,2011,Waste rock,,50752000,
52,COM00071.00,2012,Waste rock,,57950000,
53,COM00071.00,2013,Waste rock,,38552000,
54,COM00071.00,2014,Waste rock,,22204000,
55,COM00071.00,2015,Waste rock,,27572000,
56,COM00071.00,2016,Waste rock,,42334000,
57,COM00071.00,2017,Waste rock,,43066000,
58,COM00071.00,2018,Waste rock,,51972000,
59,COM00071.00,2019,Waste rock,,49166000,
60,COM00087.00,2014,Waste rock,,5087400,
61,COM00087.00,2015,Waste rock,,6710000,
62,COM00087.00,2016,Waste rock,,4892200,
63,COM00087.00,2017,Waste rock,,9394000,
64,COM00087.00,2018,Waste rock,,22374800,
65,COM00087.00,2019,Waste rock,,18836800,
66,COM00087.00,2020,Waste rock,,14835200,
67,COM00102.00,2016,Waste rock,F.stc,4551716,
68,COM00102.00,2017,Waste rock,F.stc,5409424,
69,COM00102.00,2018,Waste rock,F.stc,12463061,
70,COM00104.00,2007,Waste rock,,195378220.8,222179630.4
71,COM00104.00,2008,Waste rock,,108421286.4,177633388.8
72,COM00104.00,2009,Waste rock,,22280832,133013664
73,COM00104.00,2010,Waste rock,,60111979.2,85667803.2
74,COM00104.00,2011,Waste rock,,140997024,147703953.6
75,COM00104.00,2012,Waste rock,,177012864,178236676.8
76,COM00104.00,2013,Waste rock,,168702912,196014168
77,COM00104.00,2014,Waste rock,,53208187.2,116646868.80000001
78,COM00104.00,2015,Waste rock,,46992960,138852403.20000002
79,COM00105.00,2007,Waste rock,,17812000,
80,COM00105.00,2008,Waste rock,,23790000,
81,COM00105.00,2009,Waste rock,,44530000,
82,COM00105.00,2010,Waste rock,,31110000,
83,COM00105.00,2011,Waste rock,,34770000,
84,COM00105.00,2012,Waste rock,,38674000,
85,COM00105.00,2013,Waste rock,,17568000,
86,COM00124.00,2015,Waste rock,,50386000,
87,COM00124.00,2016,Waste rock,,50996000,
88,COM00124.00,2017,Waste rock,,56852000,
89,COM00124.00,2018,Waste rock,,59048000,
90,COM00129.00,2004,Waste rock,,40934660,
91,COM00129.00,2005,Waste rock,,48316880,
92,COM00129.00,2006,Waste rock,,53628760,
93,COM00129.00,2007,Waste rock,,56426220,
94,COM00129.00,2008,Waste rock,,61744200,
95,COM00129.00,2009,Waste rock,,65392000,
96,COM00129.00,2010,Waste rock,,75193480,
97,COM00129.00,2011,Waste rock,,101535720,
98,COM00129.00,2012,Waste rock,,99260420,
99,COM00129.00,2013,Waste rock,,102795980,
100,COM00129.00,2014,Waste rock,,,
101,COM00129.00,2015,Waste rock,,126759220,
102,COM00129.00,2016,Waste rock,,181281020,
103,COM00129.00,2017,Waste rock,,160082300,
104,COM00129.00,2018,Waste rock,,134768520,
105,COM00129.00,2019,Waste rock,,125958900,
106,COM00129.00,2020,Waste rock,,100828120,
107,COM00144.00,2018,Waste rock,F.stc,14248865,
108,COM00144.00,2019,,F.stc,,
109,COM00144.00,2020,,F.stc,,
110,COM00146.00,2019,Waste rock,,13679900,
111,COM00146.00,2020,Waste rock,,13742400,
112,COM00151.00,2009,Waste rock,,6412996.800000001,10090785.6
113,COM00151.00,2010,Waste rock,,46071244.800000004,94640918.4
114,COM00151.00,2011,Waste rock,,43213564.800000004,91187208
115,COM00151.00,2012,Waste rock,,43662628.800000004,82259452.8
116,COM00151.00,2013,Waste rock,,53713497.6,92283105.60000001
117,COM00151.00,2014,Waste rock,,46836921.6,96116025.60000001
118,COM00151.00,2015,Waste rock,,33808622.4,78392966.4
119,COM00151.00,2016,Waste rock,,38446228.800000004,83369865.60000001
120,COM00151.00,2017,Waste rock,,34879118.4,77597352
121,COM00151.00,2018,Waste rock,,44238700.800000004,79540574.4
122,COM00151.00,2019,Waste rock,,53309793.6,88422062.4
123,COM00154.00,2006,Waste rock,F.coal,8450807.02,
124,COM00154.00,2006,Waste rock,F.coal,453713.12,
125,COM00154.00,2007,Waste rock,F.coal,23865091,
126,COM00154.00,2007,Waste rock,F.coal,461020.92,
127,COM00154.00,2008,Waste rock,F.coal,36319847.74,
128,COM00154.00,2008,Waste rock,F.coal,514798.51999999996,
129,COM00154.00,2009,Waste rock,F.coal,53246307.08,
130,COM00154.00,2009,Waste rock,F.coal,603372.96,
131,COM00154.00,2010,Waste rock,F.coal,77940607.67999999,
132,COM00154.00,2010,Waste rock,F.coal,985420.84,
133,COM00154.00,2011,Waste rock,F.coal,109672128.14,
134,COM00154.00,2011,Waste rock,F.coal,1207060.68,
135,COM00154.00,2012,Waste rock,F.coal,150840459.62,
136,COM00154.00,2012,Waste rock,F.coal,1360569.6199999999,
137,COM00154.00,2013,Waste rock,F.coal,194107455.84,
138,COM00154.00,2013,Waste rock,F.coal,1677498.78,
139,COM00154.00,2014,Waste rock,F.coal,57828000,
140,COM00154.00,2014,Waste rock,F.coal,526308,
141,COM00154.00,2015,Waste rock,F.coal,72224000,
142,COM00154.00,2015,Waste rock,F.coal,184708,
143,COM00154.00,2016,Waste rock,F.coal,61000000,
144,COM00154.00,2016,Waste rock,F.coal,254126,
145,COM00154.00,2017,Waste rock,F.coal,63440000,
146,COM00154.00,2017,Waste rock,F.coal,154330,
147,COM00154.00,2018,Waste rock,F.coal,68076000,
148,COM00154.00,2018,Waste rock,F.coal,445117,
149,COM00154.00,2019,Waste rock,F.coal,66246000,
150,COM00154.00,2019,Waste rock,F.coal,142105.6,
151,COM00178.00,2005,,,,102508000
152,COM00178.00,2006,,,,114595000
153,COM00178.00,2007,,,,74672000
154,COM00178.00,2008,,,,4820000
155,COM00178.00,2009,,,,0
156,COM00178.00,2010,,,,6439000
157,COM00178.00,2011,,,,98306000
158,COM00178.00,2012,,,,150871000
159,COM00178.00,2013,,,,206710000
160,COM00178.00,2014,,,,271026000
161,COM00178.00,2015,,,,282954000
162,COM00178.00,2016,,,,257395000
163,COM00178.00,2017,,,,288716000
164,COM00178.00,2018,,,,297718000
165,COM00178.00,2019,,,,288882000
166,COM00179.00,2012,Tailings,F.coal,1211211,
167,COM00179.00,2012,Tailings,F.coal,4541733,
168,COM00179.00,2012,Waste rock,F.coal,11976.74,
169,COM00179.00,2012,Waste rock,F.coal,87682562.66,
170,COM00179.00,2013,Tailings,F.coal,2507358,
171,COM00179.00,2013,Tailings,F.coal,3202810,
172,COM00179.00,2013,Waste rock,F.coal,2466.84,
173,COM00179.00,2013,Waste rock,F.coal,18300,
174,COM00179.00,2013,Waste rock,F.coal,73705255.67999999,
175,COM00179.00,2014,Tailings,F.coal,2950066,
176,COM00179.00,2014,Tailings,F.coal,3144117,
177,COM00179.00,2014,Waste rock,F.coal,26453.26,
